Sample Name,Substrate,Gas,Temperature,Type,Index,Average,Ra,RMS,Skew,Kurtosis
W6821-1B,XG,Sauerstoff,800,Topography,1,6.621898651727169e-08,2.9831898255615265e-09,4.276699878307462e-09,-2.2786744302373627,25.163954256736325
W6821-1B,XG,Sauerstoff,800,Topography,2,3.819091862066656e-08,2.9767282951845385e-09,4.104480884864728e-09,0.12884320872484936,6.316047381823795
W6821-1B,XG,Sauerstoff,800,Topography,3,2.159853512436134e-08,2.5432677049599132e-09,3.292172594511343e-09,-0.2294327771804614,1.215267563416921
W6821-1B,XG,Sauerstoff,800,Topography,4,2.496368343936133e-08,2.5367595637344073e-09,3.285991764697635e-09,-0.2250551986643137,1.2390631186418855
W6822-1B,XG,Sauerstoff,800,Topography,1,5.816442826028229e-08,4.964107975084038e-09,7.133941615250689e-09,1.3718660256202686,7.495202763313113
W6822-1B,XG,Sauerstoff,800,Topography,2,3.7672582478990344e-08,5.0154052184331135e-09,7.1650153228153625e-09,1.413486283808612,7.175786078753108
W6822-1B,XG,Sauerstoff,800,Topography,3,2.5334901087674627e-08,3.221526261944987e-09,4.340647737084159e-09,0.3516025003130343,3.3426084244471603
W6822-1B,XG,Sauerstoff,800,Topography,4,2.4394680111769136e-08,3.2265358267858596e-09,4.348172345710621e-09,0.4223666513885093,3.455867536473801
W6823-1B,XG,Sauerstoff,800,Topography,1,4.46972163128729e-08,6.158269548617405e-09,8.16049483180274e-09,-0.20344337213554634,1.7422065372010413
W6823-1B,XG,Sauerstoff,800,Topography,2,4.408695120481251e-08,6.162020462491111e-09,8.180780057322005e-09,-0.19842558197302795,1.8327131354717414
W6823-1B,XG,Sauerstoff,800,Topography,3,3.3755634389243566e-08,5.5504087167256305e-09,7.268279399677878e-09,0.3616594529986485,1.094373159554432
W6823-1B,XG,Sauerstoff,800,Topography,4,3.34610821737379e-08,5.53596509621972e-09,7.2430897505164655e-09,0.37359163288684527,1.0854104513265108
W6824-1B,XG,Sauerstoff,800,Topography,1,2.703077588035261e-08,3.574962706927248e-09,4.999325991446899e-09,1.742918901224312,6.673302925638115
W6824-1B,XG,Sauerstoff,800,Topography,2,2.8322501205218515e-08,3.6068348832782825e-09,5.0662945663571865e-09,1.79078975579553,6.981866016559842
W6824-1B,XG,Sauerstoff,800,Topography,3,1.7959980291432773e-08,3.4323681812433815e-09,4.585391458600401e-09,1.0545298130536906,3.443697797121584
W6824-1B,XG,Sauerstoff,800,Topography,4,1.8194672135725178e-08,3.4376845982796077e-09,4.584987065808747e-09,1.0416897629195878,3.3814811317492124
W6821-1B,XG,Sauerstoff,875,Topography,1,5.477362163181401e-08,6.668051805272778e-09,9.334072278560879e-09,0.6928488998523643,6.66734154796961
W6821-1B,XG,Sauerstoff,875,Topography,2,5.553461324546776e-08,6.6615553346288775e-09,9.389856097393728e-09,0.8136018988029062,7.917570754119383
W6821-1B,XG,Sauerstoff,875,Topography,3,5.0355701099446424e-08,3.2254366302599383e-09,4.699503659634443e-09,-0.70841939661182,9.812030075071462
W6821-1B,XG,Sauerstoff,875,Topography,4,5.067029652109958e-08,3.218529044771353e-09,4.687192504703657e-09,-0.6957393925056078,9.874336118312536
W6822-1B,XG,Sauerstoff,875,Topography,1,4.4311710126531794e-08,9.764735267130536e-09,1.218757323590523e-08,0.27723575790811894,0.07911778319720497
W6822-1B,XG,Sauerstoff,875,Topography,2,5.8315479154068034e-08,9.810216446132537e-09,1.2240767731005663e-08,0.20035366716911834,0.06870187366206482
W6822-1B,XG,Sauerstoff,875,Topography,3,4.022364676816969e-08,8.87226031736475e-09,1.1220529238777298e-08,0.33131144797534695,0.3987518488565014
W6822-1B,XG,Sauerstoff,875,Topography,4,4.175300493468889e-08,8.853270468928784e-09,1.1164274485100985e-08,0.2754386537747423,0.29118478068096776
W6823-1B,XG,Sauerstoff,875,Topography,1,3.461384414464922e-08,5.98247807625874e-09,7.883910084318658e-09,-0.3623230530151013,0.9406516774128204
W6823-1B,XG,Sauerstoff,875,Topography,2,3.839017922449747e-08,5.911747114957777e-09,7.815715707477864e-09,-0.3253731184546425,1.1244043732504823
W6823-1B,XG,Sauerstoff,875,Topography,3,3.476424672733151e-08,5.470213499106901e-09,7.152356765927871e-09,-0.06916977130954594,0.9061185745383784
W6823-1B,XG,Sauerstoff,875,Topography,4,3.724993450682211e-08,5.414122688551746e-09,7.0734897381302135e-09,-0.06300279845641615,0.9303040987785032
W6824-1B,XG,Sauerstoff,875,Topography,1,3.9171405518748e-08,5.991997375403729e-09,7.605095238620978e-09,0.24671470515853897,0.6875045840538125
W6824-1B,XG,Sauerstoff,875,Topography,2,3.89808305925128e-08,6.047942655543946e-09,7.684392084115742e-09,0.28500018434998325,0.7059138350916743
W6824-1B,XG,Sauerstoff,875,Topography,3,4.6850364923978435e-08,6.123681638159105e-09,7.821206205666112e-09,0.41153358298551435,0.5215840845598745
W6824-1B,XG,Sauerstoff,875,Topography,4,4.542267592936004e-08,6.084913211007155e-09,7.787750000610831e-09,0.40266586558942796,0.5526941359699808
W6821-1B,XG,Sauerstoff,pre,Topography,1,1.8628218159555513e-08,9.366218790123481e-09,1.1224262186033506e-08,0.7613616304499825,-0.36564188936373654
W6821-1B,XG,Sauerstoff,pre,Topography,2,1.8904610796033736e-08,9.297518852327727e-09,1.1153487331377808e-08,0.7580658469186082,-0.3621552822285685
W6821-1B,XG,Sauerstoff,pre,Topography,3,1.9974539466054442e-08,9.541406774073749e-09,1.1580610010164352e-08,0.8843566580261463,0.5996037669734338
W6821-1B,XG,Sauerstoff,pre,Topography,4,1.9985593130661556e-08,9.503448496375233e-09,1.1523020949342447e-08,0.8774548175640154,0.5434268718581814
W6822-1B,XG,Sauerstoff,pre,Topography,1,8.370695151718318e-09,4.451752654591714e-09,5.487614952691671e-09,1.141507806799877,0.6649327740746402
W6822-1B,XG,Sauerstoff,pre,Topography,2,8.809757062652924e-09,4.450042194186586e-09,5.483635297388302e-09,1.1375131336320825,0.6435208842640416
W6822-1B,XG,Sauerstoff,pre,Topography,3,8.726601986806616e-09,4.152721669965665e-09,5.104370688399485e-09,1.1175683136242638,0.5125317661791038
W6822-1B,XG,Sauerstoff,pre,Topography,4,8.66163933591096e-09,4.160285215711016e-09,5.116633567080214e-09,1.1136517672001525,0.5295572529941195
W6823-1B,XG,Sauerstoff,pre,Topography,1,2.4442577279726417e-08,1.0736602665152263e-08,1.3327277207032911e-08,1.041756083227156,0.3047354750679676
W6823-1B,XG,Sauerstoff,pre,Topography,2,2.5523769130724653e-08,1.0735877463606387e-08,1.3317517384216185e-08,1.0594584893606265,0.33677867623208346
W6823-1B,XG,Sauerstoff,pre,Topography,3,2.5188960721198433e-08,1.095871408488624e-08,1.3947898132778022e-08,0.9928302937301685,0.34152448354569875
W6823-1B,XG,Sauerstoff,pre,Topography,4,2.5811507837123183e-08,1.0958291417913094e-08,1.3953963101859613e-08,0.9943817502038956,0.35739894488176693
W6824-1B,XG,Sauerstoff,pre,Topography,1,1.7391038921125254e-08,7.138119006572515e-09,8.49667367524482e-09,0.7726022505492908,-0.3150999801665564
W6824-1B,XG,Sauerstoff,pre,Topography,2,1.8797855339971292e-08,7.170252253149241e-09,8.539049229131697e-09,0.7753307788548622,-0.3130013441866555
W6824-1B,XG,Sauerstoff,pre,Topography,3,1.4233622903123585e-08,7.10107126465379e-09,8.393354583455853e-09,0.6724516213078326,-0.4090642158455786
W6824-1B,XG,Sauerstoff,pre,Topography,4,1.5055470786678805e-08,7.15273363017696e-09,8.45623127492054e-09,0.6639950877871034,-0.4863896498393423
